Store,Week,PepsiQuant,PepsiPrice,DomQuant,DomPrice,CokeQuant,CokePrice
8,1,312,1.69,116,0.89,220,1.59
8,2,274,1.69,235,0.69,415,1.19
8,3,501,1.69,77,0.89,149,1.59
8,4,981,1.19,73,0.89,348,1.19
8,5,466,1.59,85,0.89,146,1.59
8,6,947,1.19,84,0.93,302,1.19
8,7,457,1.59,1684,0.46,170,1.59
8,8,438,1.59,44,0.93,136,1.59
8,9,2041,0.99,55,0.93,93,1.59
8,10,541,1.59,151,0.79,181,1.59
8,11,2416,0.89,55,0.79,828,0.89
8,12,527,1.59,73,0.93,163,1.69
8,13,1123,1.19,43,0.93,138,1.29
8,14,321,1.29,27,0.93,947,0.89
8,15,2157,0.89,69,0.79,130,1.29
8,16,2764,0.89,66,0.79,665,0.89
8,17,553,1.29,96,0.93,154,1.29
8,18,1019,1.19,90,0.93,268,1.19
8,19,610,1.29,701,0.93,199,1.29
8,20,650,1.29,108,0.93,224,1.29
8,21,511,1.29,82,0.93,157,1.29
8,22,686,1.29,94,0.99,188,1.29
8,23,1024,1.19,1729,0.46,291,1.19
8,24,475,1.29,46,0.93,121,1.29
8,25,1155,1.19,77,0.93,315,1.19
8,26,421,1.29,101,0.93,92,1.29
8,27,2884,0.99,241,2.00,783,0.99
8,28,523,1.29,118,2.00,168,1.29
8,29,525,1.29,76,0.93,174,1.29
8,30,1015,1.19,146,0.79,146,1.29
8,31,611,1.29,168,0.79,204,1.29
8,32,180,1.29,28,0.79,62,1.29
8,33,5254,0.89,23,0.93,1644,0.89
8,34,528,1.29,564,0.93,154,1.29
8,35,461,1.29,64,0.93,132,1.29
8,36,572,1.29,53,0.93,198,1.29
8,37,389,1.39,82,0.93,131,1.39
8,38,439,1.39,583,0.93,229,1.29
8,39,6121,0.89,15,0.93,109,1.39
8,40,384,1.39,77,0.93,254,1.29
8,41,762,1.29,115,0.93,141,1.39
8,42,368,1.39,345,2.00,128,1.39
8,43,471,1.29,134,2.00,95,1.29
8,44,320,1.39,95,0.93,106,1.39
8,45,460,1.29,520,2.00,117,1.29
8,46,258,1.39,208,2.00,83,1.39
8,47,1986,0.99,35,0.93,828,0.99
8,48,339,1.39,40,0.93,127,1.39
8,49,298,1.39,72,0.93,116,1.39
8,50,507,1.29,248,2.00,245,1.29
8,51,283,1.39,51,0.93,116,1.39
8,52,663,1.29,200,2.00,105,1.39
8,53,240,1.39,90,2.00,94,1.39
8,54,303,1.39,45,0.93,153,1.39
8,55,269,1.39,45,0.93,239,1.19
8,56,584,1.29,36,0.93,158,1.29
8,57,324,1.39,51,0.93,136,1.39
8,58,221,1.39,659,0.46,88,1.39
8,59,1742,0.99,24,0.93,541,0.99
8,60,233,1.39,86,0.93,102,1.39
8,61,297,1.39,148,2.00,98,1.39
8,62,295,1.39,174,2.00,150,1.39
8,63,155,1.39,40,0.93,59,1.39
8,64,257,1.39,78,0.93,97,1.39
8,65,512,1.19,188,0.79,82,1.39
8,66,681,1.29,88,0.79,132,1.29
8,67,377,1.39,82,0.93,192,1.39
8,68,299,1.39,48,0.93,157,1.39
8,69,365,1.39,801,0.89,112,1.39
8,70,515,1.29,61,0.93,217,1.29
8,71,256,1.39,62,0.93,121,1.39
8,72,284,1.39,59,0.93,82,1.39
8,73,689,1.29,50,0.93,154,1.29
8,74,213,1.39,232,2.00,189,1.19
8,75,541,1.29,54,0.93,117,1.39
8,76,282,1.39,35,0.93,2676,0.89
8,77,264,1.39,34,0.93,129,1.39
8,78,237,1.39,1209,0.46,110,1.39
8,79,1007,1.19,46,0.93,288,1.19
8,80,324,1.39,64,0.93,117,1.39
8,81,294,1.39,53,0.93,93,1.39
8,82,181,1.39,363,0.59,94,1.39
8,83,232,1.39,120,0.93,79,1.39
8,84,2212,0.99,23,0.89,650,0.99
8,85,179,1.39,163,2.00,98,1.39
8,86,211,1.39,55,0.89,87,1.39
8,87,306,1.39,56,0.89,122,1.39
8,88,1325,0.99,51,0.89,422,0.99
8,89,256,1.39,284,2.00,103,1.39
8,90,217,1.39,53,2.00,65,1.39
8,91,2025,0.99,55,0.89,820,0.99
8,92,194,1.39,228,2.00,97,1.39
8,93,229,1.39,71,2.00,87,1.39
8,94,217,1.39,57,0.89,83,1.39
8,95,429,1.29,64,0.89,141,1.29
8,96,236,1.39,52,0.89,93,1.39
8,97,218,1.39,137,2.00,123,1.39
8,98,271,1.29,91,2.00,108,1.29
8,99,233,1.39,327,0.59,93,1.39
8,100,242,1.39,142,0.59,74,1.39
8,101,2403,0.99,28,0.89,932,0.99
8,102,254,1.39,153,2.00,96,1.39
8,103,218,1.39,54,0.89,81,1.39
8,104,145,1.39,186,2.00,75,1.39
8,105,312,1.29,74,0.89,153,1.29
8,106,205,1.39,64,0.89,94,1.39
8,107,3136,0.99,16,0.89,784,0.99
8,108,194,1.39,34,0.89,133,1.39
8,109,167,1.39,196,0.79,85,1.39
8,110,554,1.29,46,0.89,116,1.29
8,111,246,1.29,36,0.89,64,1.29
8,112,276,1.29,70,0.79,100,1.29
8,113,221,1.49,52,0.79,101,1.49
8,114,554,1.39,58,0.79,190,1.39
8,115,174,1.39,141,0.79,107,1.39
8,116,162,1.39,45,0.89,102,1.39
8,117,2762,0.89,38,0.89,1352,0.89
8,118,157,1.39,43,0.89,105,1.39
8,119,247,1.39,177,1.50,131,1.39
8,120,2554,0.89,46,1.50,1312,0.89
8,121,149,1.39,73,1.50,117,1.39
8,122,336,1.19,1565,0.44,158,1.19
8,123,126,1.39,48,0.89,92,1.39
8,124,2278,0.89,21,0.89,1253,0.89
8,125,186,1.39,94,1.50,83,1.39
8,126,184,1.39,58,0.89,90,1.39
8,127,189,1.39,38,0.89,113,1.39
8,128,322,1.39,43,0.89,147,1.39
8,129,182,1.39,727,0.89,96,1.39
8,130,1772,0.99,18,0.89,799,0.99
8,131,179,1.39,51,0.89,90,1.39
8,132,176,1.39,135,3.00,80,1.39
8,133,188,1.39,123,0.89,114,1.39
8,134,180,1.39,506,0.89,106,1.39
8,135,991,0.99,18,0.89,761,0.99
8,136,168,1.39,186,2.00,79,1.39
8,137,133,1.39,32,0.89,88,1.39
8,138,123,1.39,25,0.89,88,1.39
8,139,985,0.99,28,0.89,722,0.99
8,140,196,1.39,26,0.89,108,1.39
8,141,166,1.39,37,0.89,144,1.39
8,142,1817,0.89,20,0.89,1206,0.89
8,143,204,1.39,132,2.00,107,1.39
8,144,315,4.0,82,1.50,212,4.0
8,145,71,4.0,8,1.50,25,1.39
8,146,1010,1.39,58,2.00,956,1.39
8,147,1090,0.79,17,2.00,907,0.79
8,148,189,1.39,1151,0.44,91,1.39
8,149,191,1.19,58,0.89,134,1.19
8,150,95,1.49,33,0.89,669,0.99
8,151,2244,0.79,16,0.89,1210,0.79
8,152,116,1.49,117,2.00,99,1.39
8,153,71,1.49,24,0.89,745,0.89
8,154,175,1.49,47,0.89,115,1.39
8,155,877,0.99,24,0.89,85,1.39
8,156,109,1.49,150,2.00,88,1.39
8,157,110,1.49,32,0.89,1014,0.99
8,158,165,1.49,43,0.89,118,1.39
8,159,969,0.99,22,0.89,93,1.39
8,160,241,4.0,35,0.89,49,1.39
8,161,171,1.49,30,0.89,69,1.49
8,162,182,1.33,26,0.89,94,1.49
8,163,253,4.0,645,0.44,71,1.49
8,164,102,1.49,34,0.89,66,1.49
8,165,136,1.49,39,0.89,609,0.99
8,166,129,1.49,37,0.79,81,1.49
8,167,1060,0.99,258,0.59,89,1.49
8,168,135,1.49,49,0.79,69,1.49
8,169,111,1.49,38,0.79,816,0.99
8,170,826,0.99,134,2.00,92,1.49
8,171,0,0.0,0,0.00,0,0.0
8,172,416,1.29,160,2.00,295,1.49
8,173,101,1.49,24,2.00,412,0.99
8,174,250,3.98,712,0.48,135,3.98
8,175,136,1.49,29,0.79,77,1.49
8,176,105,1.49,59,0.79,71,1.49
8,177,127,1.49,57,0.79,83,1.49
8,178,165,4.0,60,0.79,222,4.0
8,179,101,1.49,49,0.79,96,1.49
8,180,103,1.49,41,0.79,277,1.09
8,181,121,1.49,117,2.00,97,1.49
8,182,1347,0.99,31,0.79,62,1.49
8,183,101,1.49,47,0.79,132,4.0
8,184,109,1.49,61,0.79,95,1.49
8,185,87,1.49,1406,0.39,145,1.49
8,186,766,0.89,31,0.79,910,0.89
8,187,115,1.49,55,0.79,67,1.49
8,188,411,2.99,35,0.79,59,1.49
8,189,81,1.49,101,2.00,604,0.99
8,190,2316,0.99,73,0.89,48,1.49
8,191,367,0.99,1232,0.44,550,0.99
8,192,116,1.49,25,0.89,96,1.69
8,193,926,0.99,35,0.89,754,0.99
8,194,606,0.99,89,2.00,529,0.99
8,195,741,0.99,13,0.89,612,0.99
8,196,148,1.69,94,3.00,74,1.69
8,197,75,1.69,31,0.89,789,0.99
8,198,1012,0.99,96,0.66,599,0.99
8,199,713,0.99,44,0.89,402,0.99
8,200,1196,0.99,27,0.89,666,0.99
8,201,359,1.03,652,0.44,270,1.1
8,202,417,1.33,150,0.89,61,1.69
8,203,158,0.99,141,0.89,773,0.99
8,204,1081,0.99,24,0.89,596,0.99
8,205,79,1.69,523,0.44,75,1.69
8,206,1332,0.99,26,0.89,63,1.69
8,207,49,1.69,39,0.89,154,1.09
8,208,921,0.99,31,0.89,58,1.69
8,209,481,1.09,112,0.66,179,1.09
8,210,108,1.69,58,0.89,66,1.69
8,211,67,1.69,42,0.89,0,0.0
8,212,60,1.69,556,0.44,59,1.69
8,213,1078,0.99,142,0.61,797,0.99
8,214,145,1.39,90,0.79,81,1.69
8,215,77,1.68,50,0.89,77,1.69
8,216,78,1.69,81,0.69,63,1.69
8,217,364,1.09,167,0.59,197,1.09
8,218,71,1.65,47,0.81,72,1.68
8,219,0,0.0,0,0.00,0,0.0
8,220,86,1.64,38,0.81,208,1.32
8,221,80,1.69,52,0.89,71,1.69
8,222,406,1.33,562,0.44,199,1.34
8,223,560,0.99,36,0.78,299,0.99
8,224,646,1.09,56,0.66,207,1.12
8,225,165,1.33,36,0.66,168,1.33
8,226,262,1.33,737,0.44,151,1.33
8,227,151,1.69,49,0.78,80,1.69
8,228,145,1.33,61,0.89,159,1.33
8,229,90,1.68,32,0.89,63,1.66
8,230,173,1.33,403,0.45,77,1.34
8,231,105,1.68,60,0.84,51,1.69
8,232,173,1.33,403,0.45,77,1.34
8,233,105,1.68,60,0.84,51,1.69
8,234,54,1.63,28,0.89,66,1.69
8,235,1236,0.99,30,0.89,455,0.99
8,236,92,1.66,648,0.44,69,1.62
8,237,509,0.99,103,0.86,265,1.01
8,238,332,1.32,113,0.75,255,1.31
8,239,70,1.69,54,0.89,60,1.68
8,240,89,1.69,21,0.84,62,1.69
8,241,1154,0.99,34,0.89,578,0.99
8,242,70,1.59,428,0.45,57,1.66
8,243,144,1.39,41,0.89,151,1.39
8,244,127,1.42,112,0.89,109,1.45
8,245,393,1.39,75,0.89,191,1.39
8,246,287,1.33,20,0.89,110,1.33
8,247,93,1.69,542,0.46,62,1.68
8,248,225,1.33,33,0.70,64,1.69
8,249,111,1.69,217,0.59,338,0.99
8,250,228,1.07,24,0.89,156,1.11
8,251,167,0.99,25,0.89,184,0.92
8,252,198,1.33,16,0.89,99,1.33
8,253,90,1.66,32,0.89,70,1.66
8,262,101,1.62,48,0.76,77,0.99
8,263,258,1.39,121,0.67,123,1.38
8,264,121,1.43,33,0.89,63,1.45
8,265,375,1.09,36,0.89,233,1.09
8,266,101,1.62,48,0.76,77,0.99
8,267,258,1.39,121,0.67,123,1.38
8,268,121,1.43,33,0.89,63,1.45
8,269,375,1.09,36,0.89,233,1.09
8,270,180,1.65,556,0.44,57,1.64
8,271,3674,1.19,29,0.82,71,1.69
8,272,224,1.19,68,0.66,168,1.19
8,273,559,1.19,36,0.88,157,1.19
8,274,133,1.66,91,0.66,2273,0.99
8,275,138,1.69,111,0.74,109,1.61
8,276,150,1.33,76,0.89,155,1.33
8,277,118,1.68,55,0.89,131,1.39
8,278,200,1.33,432,0.48,162,1.33
8,279,110,1.68,235,0.45,74,1.68
8,280,150,1.33,76,0.89,155,1.33
8,281,118,1.68,55,0.89,131,1.39
8,282,200,1.33,432,0.48,162,1.33
8,283,110,1.68,235,0.45,74,1.68
8,284,333,1.33,56,0.89,159,1.33
8,285,152,1.68,46,0.89,99,1.68
8,286,2742,1.39,60,0.89,1363,1.39
8,287,146,1.63,76,0.89,110,1.67
8,288,107,1.69,55,0.89,87,1.69
8,289,330,1.09,515,0.44,75,1.69
8,290,439,1.28,64,0.84,201,1.29
8,291,1154,1.38,41,0.89,785,1.38
8,292,165,1.66,163,0.66,124,1.67
8,293,106,1.69,48,0.88,86,1.69
8,294,153,1.29,56,0.89,117,1.29
8,295,114,1.67,30,0.89,184,1.19
8,296,665,1.09,524,0.45,339,1.12
8,297,117,1.67,75,0.85,91,1.68
8,298,516,1.05,43,0.89,321,1.07
8,299,277,1.04,206,0.66,320,1.03
8,300,1727,0.99,18,0.89,109,1.34
8,301,374,1.02,77,0.84,98,1.68
8,302,485,1.38,598,0.40,290,1.43
8,303,354,1.42,86,0.75,135,1.39
8,304,78,1.69,66,0.89,995,0.99
8,305,78,1.69,73,0.89,73,1.61
8,306,913,0.99,45,0.89,209,1.29
8,307,92,1.07,843,0.44,68,1.68
8,308,301,1.28,52,0.63,77,1.69
8,309,121,1.69,56,0.89,83,1.69
8,310,280,1.29,49,0.91,136,1.29
8,311,524,0.99,37,0.99,60,1.69
8,312,172,1.26,41,0.99,119,1.29
8,313,78,1.29,439,0.49,72,1.69
8,314,114,1.29,34,0.97,70,1.69
8,315,286,1.29,225,0.66,69,1.69
8,316,100,1.68,310,0.59,256,1.19
8,317,206,1.33,28,0.97,87,1.66
8,318,104,1.67,47,0.99,238,1.33
8,319,129,1.69,488,0.52,87,1.67
8,320,287,1.33,38,0.99,156,1.33
8,321,159,1.68,43,0.99,99,1.67
8,322,1849,0.99,602,0.49,976,0.99
8,323,153,1.61,68,0.98,133,1.63
8,324,116,1.69,77,0.99,806,0.84
8,325,423,1.08,44,0.99,299,1.09
8,326,413,1.03,431,0.49,375,1.03
8,327,95,1.69,444,0.49,842,0.82
8,328,633,0.99,53,0.66,1749,0.79
8,329,3446,1.18,36,0.99,1527,1.18
8,330,1342,0.99,730,0.49,96,1.64
8,331,109,1.62,24,0.84,104,1.69
8,332,1636,0.99,12,0.99,1004,0.99
8,333,137,1.58,480,0.51,106,1.67
8,334,80,1.69,70,0.97,102,1.69
8,335,2234,0.99,397,0.47,389,0.99
8,336,99,1.44,43,0.96,2249,0.79
8,337,123,1.69,40,0.99,118,1.55
8,338,82,1.66,422,0.49,82,1.65
8,339,317,1.33,60,0.99,235,1.32
8,340,192,1.57,62,0.99,134,1.59
8,341,130,1.59,595,0.49,102,1.59
8,342,1678,0.99,19,0.99,611,0.99
8,343,155,1.47,63,0.99,1119,0.84
8,344,53,1.59,758,0.49,93,1.31
8,345,1138,0.99,28,0.90,926,0.99
8,346,116,1.51,30,0.99,86,1.51
8,347,470,1.19,43,0.97,215,1.19
8,348,124,1.57,35,0.99,130,1.56
8,349,2519,0.82,45,0.99,1262,0.84
8,350,241,1.19,36,0.99,257,1.18
8,351,114,1.57,471,0.49,96,1.57
8,352,188,1.29,45,0.94,199,1.29
8,353,101,1.57,53,0.99,104,1.57
8,354,554,0.99,34,0.99,563,0.99
8,355,96,1.55,55,0.90,82,1.51
8,356,653,0.99,21,0.99,733,0.99
8,357,74,1.51,623,0.49,102,1.55
8,358,913,0.99,45,0.89,209,1.29
8,359,92,1.07,843,0.44,68,1.68
8,360,301,1.28,52,0.63,77,1.69
8,361,121,1.69,56,0.89,83,1.69
8,362,441,1.19,39,0.99,162,1.39
8,363,1361,0.99,34,0.99,461,0.99
8,364,94,1.52,45,0.99,1976,0.8
8,365,1693,0.99,1053,0.49,357,1.19
8,366,461,0.99,19,0.99,1777,0.79
8,367,148,1.54,67,0.99,87,1.48
8,368,69,1.59,6,0.99,703,0.99
8,369,748,0.99,331,0.51,92,1.53
8,370,79,1.51,53,0.91,216,1.19
8,371,100,1.49,47,0.99,89,1.53
8,372,118,1.49,645,0.49,388,0.95
8,373,118,1.49,645,0.49,388,0.95
8,374,2233,0.79,28,0.77,297,0.95
8,375,111,1.25,527,0.49,62,1.49
8,376,228,1.09,75,0.67,383,1.09
8,377,212,1.18,59,0.99,225,1.19
8,378,96,1.35,49,0.99,129,1.38
8,379,5041,0.99,19,0.99,48,1.49
8,380,183,1.33,47,0.99,128,1.49
8,381,2614,1.29,39,0.99,1797,1.29
8,382,138,1.49,114,0.75,126,1.49
8,383,109,1.49,52,0.92,1135,0.99
8,384,115,1.49,437,0.49,89,1.46
8,385,152,1.39,33,0.87,1893,1.29
8,386,92,1.48,515,0.99,119,1.45
8,387,104,1.49,40,0.99,408,1.49
8,388,75,1.49,12,0.99,1424,1.39
8,389,75,1.49,12,0.99,1424,1.39
8,390,689,1.39,18,0.99,499,1.39
8,391,95,1.49,113,0.66,94,1.49
8,392,1609,1.49,24,0.99,1024,1.49
8,393,2222,1.0,30,0.99,1493,1.01
8,394,2580,0.99,41,0.99,1445,1.0
8,395,2580,0.99,41,0.99,1445,1.0
8,396,84,1.49,94,0.99,77,1.49
8,397,284,1.09,38,0.99,167,1.09
8,398,84,1.49,18,0.99,69,1.48
8,399,69,1.49,18,0.99,1369,1.19
18,1,394,1.69,45,0.89,190,1.59
18,2,300,1.69,177,0.69,647,1.19
18,3,362,1.69,55,0.89,151,1.59
18,4,1156,1.19,54,0.89,599,1.19
18,5,0,0.0,0,0.00,0,0.0
18,6,980,1.19,92,0.93,398,1.19
18,7,337,1.59,1491,0.46,116,1.59
18,8,264,1.59,40,0.93,119,1.59
18,9,2469,0.99,17,0.93,101,1.59
18,10,368,1.59,110,0.79,136,1.59
18,11,2729,0.89,46,0.79,1299,0.89
18,12,314,1.59,20,0.93,119,1.69
18,13,1206,1.19,52,0.93,126,1.49
18,14,261,1.49,18,0.93,1198,0.89
18,15,2145,0.89,44,0.79,175,1.49
18,16,2807,0.89,54,0.79,1341,0.89
18,17,338,1.49,15,0.93,128,1.49
18,18,1063,1.19,29,0.93,394,1.19
18,19,364,1.49,894,0.93,122,1.49
18,20,434,1.49,68,0.93,372,1.29
18,21,501,1.29,0,0.00,197,1.29
18,22,344,1.49,3,0.99,147,1.49
18,23,1102,1.19,1212,0.46,357,1.19
18,24,274,1.49,7,0.93,121,1.49
18,25,1340,1.19,3,0.93,607,1.19
18,26,235,1.49,28,0.93,99,1.49
18,27,2769,0.99,54,2.00,1609,0.99
18,28,267,1.49,36,2.00,152,1.49
18,29,279,1.49,22,0.93,162,1.49
18,30,1070,1.19,13,0.79,216,1.39
18,31,290,1.49,5,0.79,186,1.49
18,32,0,0.0,0,0.00,0,0.0
18,33,0,0.0,0,0.00,0,0.0
18,34,0,0.0,0,0.00,0,0.0
18,35,0,0.0,0,0.00,0,0.0
18,36,1320,1.29,684,0.93,3147,1.29
18,37,298,1.49,40,0.93,143,1.49
18,38,343,1.49,602,0.93,319,1.29
18,39,6872,0.89,12,0.93,112,1.49
18,40,326,1.49,25,0.93,241,1.29
18,41,649,1.29,40,0.93,237,1.49
18,42,324,1.49,383,2.00,125,1.49
18,43,595,1.29,44,2.00,301,1.29
18,44,331,1.49,87,0.93,139,1.49
18,45,544,1.29,420,2.00,228,1.29
18,46,283,1.49,54,2.00,90,1.49
18,47,2922,0.99,5,0.93,1400,0.99
18,48,328,1.49,19,0.93,114,1.49
18,49,250,1.49,38,0.93,110,1.49
18,50,809,1.29,99,2.00,270,1.29
18,51,290,1.49,37,0.93,106,1.29
18,52,766,1.29,115,2.00,132,1.29
18,53,255,1.49,33,2.00,100,1.29
18,54,280,1.49,9,0.93,137,1.29
18,55,248,1.49,17,0.93,310,1.19
18,56,744,1.29,21,0.93,249,1.29
18,57,316,1.49,39,0.93,106,1.49
18,58,230,1.49,705,0.46,122,1.49
18,59,2187,0.99,16,0.93,1005,0.99
18,60,282,1.39,41,0.93,94,1.39
18,61,279,1.39,96,2.00,120,1.39
18,62,403,1.39,248,2.00,143,1.39
18,63,239,1.39,37,0.93,96,1.39
18,64,304,1.39,56,0.93,130,1.39
18,65,580,1.19,96,0.79,138,1.39
18,66,723,1.29,81,0.79,242,1.29
18,67,503,1.39,47,0.93,180,1.39
18,68,387,1.39,24,0.93,196,1.39
18,69,438,1.39,837,0.89,170,1.39
18,70,797,1.29,19,0.93,341,1.29
18,71,338,1.39,12,0.93,117,1.39
18,72,353,1.39,18,0.93,105,1.39
18,73,445,1.29,22,0.93,149,1.29
18,74,305,1.39,121,2.00,171,1.19
18,75,505,1.29,31,0.93,120,1.39
18,76,293,1.39,16,0.93,2582,0.89
18,77,253,1.39,14,0.93,120,1.39
18,78,295,1.39,827,0.46,113,1.39
18,79,934,1.19,9,0.93,406,1.19
18,80,359,1.39,29,0.93,159,1.39
18,81,347,1.39,16,0.93,132,1.39
18,82,217,1.39,433,0.59,120,1.39
18,83,279,1.39,32,0.93,92,1.39
18,84,2631,0.99,29,0.89,968,0.99
18,85,261,1.39,150,2.00,116,1.39
18,86,279,1.39,20,0.89,103,1.39
18,87,357,1.39,31,0.89,153,1.39
18,88,1329,0.99,60,0.89,648,0.99
18,89,283,1.39,236,2.00,106,1.39
18,90,257,1.39,107,2.00,100,1.39
