Store,Week,PepsiQuant,PepsiPrice,DomQuant,DomPrice,CokeQuant,CokePrice
5,1,158,1.69,15,0.93,109,1.69
5,2,31,1.69,3,0.69,11,1.19
5,3,18,1.69,0,0.00,16,1.69
5,4,571,1.19,13,0.93,373,1.19
5,5,165,1.69,15,0.99,113,1.69
5,6,508,1.19,11,0.99,428,1.19
5,7,152,1.69,610,0.49,147,1.69
5,8,142,1.69,11,0.99,126,1.69
5,9,918,0.99,8,0.99,88,1.69
5,10,179,1.69,39,0.79,157,1.69
5,11,1123,0.89,18,0.79,1143,0.89
5,12,191,1.69,16,0.99,124,1.69
5,13,572,1.19,15,0.99,106,1.59
5,14,139,1.59,5,0.99,846,0.89
5,15,677,0.89,20,0.79,132,1.59
5,16,1568,0.89,8,0.79,900,0.89
5,17,184,1.59,20,0.99,126,1.59
5,18,280,1.19,11,0.99,328,1.19
5,19,174,1.59,290,0.99,169,1.59
5,20,174,1.59,19,0.99,341,1.29
5,21,317,1.29,16,0.99,218,1.29
5,22,184,1.59,9,0.99,148,1.59
5,23,507,1.19,578,0.49,569,1.19
5,24,172,1.59,14,0.99,105,1.59
5,25,562,1.19,10,0.99,449,1.19
5,26,132,1.59,15,0.99,100,1.59
5,27,1071,0.99,96,2.00,973,0.99
5,28,118,1.59,26,2.00,115,1.59
5,29,157,1.59,17,0.99,113,1.59
5,30,240,1.19,28,0.79,176,1.39
5,31,33,1.59,7,0.79,20,1.59
5,32,129,1.59,14,0.79,172,1.39
5,33,1080,0.89,4,0.99,1049,0.89
5,34,127,1.59,225,0.99,129,1.59
5,35,152,1.59,6,0.99,120,1.59
5,36,140,1.29,4,0.99,157,1.29
5,37,146,1.59,7,0.99,74,1.59
5,38,156,1.59,168,0.99,370,1.29
5,39,2102,0.89,5,0.99,81,1.59
5,40,89,1.59,6,0.99,275,1.29
5,41,268,1.29,8,0.99,92,1.59
5,42,106,1.59,67,2.00,81,1.59
5,43,206,1.29,19,2.00,227,1.29
5,44,75,1.59,51,0.99,62,1.59
5,45,183,1.29,137,2.00,134,1.29
5,46,87,1.59,24,2.00,76,1.59
5,47,956,0.99,1,0.99,933,0.99
5,48,113,1.59,12,0.99,107,1.59
5,49,101,1.59,10,0.99,96,1.59
5,50,276,1.29,91,2.00,320,1.29
5,51,121,1.59,12,0.99,108,1.59
5,52,336,1.29,77,2.00,100,1.49
5,53,113,1.59,26,2.00,70,1.59
5,54,91,1.59,9,0.99,82,1.59
5,55,94,1.59,14,0.99,179,1.19
5,56,254,1.29,6,0.99,242,1.29
5,57,110,1.59,2,0.99,108,1.59
5,58,82,1.59,266,0.49,84,1.59
5,59,545,0.99,5,0.99,766,0.99
5,60,87,1.59,22,0.99,73,1.59
5,61,114,1.59,52,2.00,82,1.59
5,62,163,1.59,68,2.00,107,1.59
5,63,76,1.59,14,0.99,72,1.59
5,64,110,1.59,19,0.99,106,1.59
5,65,284,1.19,73,0.79,89,1.59
5,66,275,1.29,23,0.79,279,1.29
5,67,142,1.59,16,0.99,136,1.59
5,68,155,1.59,8,0.99,120,1.59
5,69,136,1.59,230,0.89,144,1.59
5,70,284,1.29,14,0.99,248,1.29
5,71,78,1.59,13,0.99,86,1.59
5,72,132,1.59,13,0.99,70,1.59
5,73,176,1.29,9,0.99,133,1.29
5,74,97,1.59,77,2.00,234,1.19
5,75,266,1.29,10,0.99,82,1.59
5,76,99,1.59,2,0.99,1895,0.89
5,77,97,1.59,7,0.99,72,1.59
5,78,130,1.59,322,0.49,77,1.59
5,79,388,1.19,2,0.99,355,1.19
5,80,112,1.59,8,0.99,94,1.59
5,81,80,1.59,6,0.99,64,1.59
5,82,105,1.59,112,0.59,60,1.59
5,83,97,1.59,4,0.99,68,1.59
5,84,791,0.99,3,0.89,670,0.99
5,85,110,1.59,79,2.00,66,1.59
5,86,77,1.59,9,0.89,65,1.59
5,87,120,1.59,16,0.89,114,1.59
5,88,1211,0.99,23,0.89,537,0.99
5,89,95,1.59,93,2.00,68,1.59
5,90,93,1.59,35,2.00,81,1.59
5,91,841,0.99,8,0.89,792,0.99
5,92,114,1.59,99,2.00,79,1.59
5,93,78,1.59,29,2.00,61,1.59
5,94,129,1.59,26,0.89,83,1.59
5,95,204,1.29,8,0.89,136,1.29
5,96,90,1.59,18,0.89,63,1.59
5,97,77,1.59,110,2.00,72,1.59
5,98,154,1.29,30,2.00,160,1.29
5,99,118,1.49,108,0.59,91,1.49
5,100,92,1.49,43,0.59,92,1.49
5,101,807,0.99,1,0.89,804,0.99
5,102,120,1.49,111,2.00,86,1.49
5,103,131,1.49,17,0.89,62,1.49
5,104,52,1.49,97,2.00,74,1.49
5,105,203,1.29,32,0.89,187,1.29
5,106,125,1.49,11,0.89,107,1.49
5,107,992,0.99,4,0.89,780,0.99
5,108,134,1.49,18,0.89,112,1.49
5,109,128,1.49,86,0.79,127,1.49
5,110,303,1.29,14,0.89,223,1.29
5,111,162,1.29,26,0.89,153,1.29
5,112,137,1.29,32,0.79,131,1.29
5,113,103,1.49,27,0.79,125,1.49
5,114,397,1.09,33,0.79,228,1.09
5,115,135,1.49,32,0.79,168,1.49
5,116,78,1.49,16,0.89,83,1.49
