Store,Week,PepsiQuant,PepsiPrice,DomQuant,DomPrice,CokeQuant,CokePrice
112,1,274,1.69,41,0.89,291,1.69
112,2,304,1.69,78,0.69,687,1.19
112,3,325,1.69,45,0.89,305,1.69
112,4,644,1.19,45,0.89,666,1.19
112,5,327,1.69,35,0.93,287,1.69
112,6,52,1.19,83,0.93,39,1.19
112,7,264,1.69,327,0.46,274,1.69
112,8,270,1.69,12,0.93,249,1.69
112,9,1310,0.99,21,0.93,243,1.69
112,10,385,1.69,33,0.79,405,1.69
112,11,1187,0.89,9,0.79,1134,0.89
112,12,386,1.69,27,0.93,307,1.69
112,13,917,1.19,16,0.93,295,1.59
112,14,301,1.59,11,0.93,1760,0.89
112,15,1673,0.89,21,0.79,361,1.59
112,16,20,0.89,29,0.79,34,0.89
112,17,319,1.59,41,0.93,264,1.59
112,18,648,1.19,18,0.93,610,1.19
112,19,353,1.59,101,0.93,335,1.59
112,20,319,1.59,31,0.93,720,1.29
112,21,365,1.29,15,0.93,441,1.29
112,22,329,1.59,35,0.99,354,1.59
112,23,636,1.19,336,0.46,688,1.19
112,24,235,1.59,17,0.93,291,1.59
112,25,640,1.19,40,0.93,819,1.19
112,26,216,1.59,32,0.93,229,1.59
112,27,1096,0.99,39,2.00,1170,0.99
112,28,266,1.59,73,2.00,284,1.59
112,29,68,1.59,8,0.93,88,1.59
112,30,743,1.19,61,0.79,581,1.39
112,31,315,1.59,95,0.79,394,1.59
112,32,216,1.59,65,0.79,552,1.39
112,33,1882,0.89,7,0.93,1783,0.89
112,34,279,1.59,166,0.93,272,1.59
112,35,268,1.59,33,0.93,302,1.59
112,36,334,1.29,22,0.93,482,1.29
112,37,284,1.59,25,0.93,300,1.59
112,38,263,1.59,193,0.93,642,1.29
112,39,3080,0.89,12,0.93,195,1.59
112,40,258,1.59,22,0.93,557,1.29
112,41,511,1.29,23,0.93,207,1.59
112,42,225,1.59,82,2.00,263,1.59
112,43,328,1.29,27,2.00,381,1.29
112,44,242,1.59,40,0.93,202,1.59
112,45,403,1.29,95,2.00,332,1.29
112,46,193,1.59,53,2.00,205,1.59
112,47,1152,0.99,7,0.93,954,0.99
112,48,204,1.59,18,0.93,161,1.59
112,49,223,1.59,10,0.93,207,1.59
112,50,655,1.29,78,2.00,449,1.29
112,51,282,1.59,22,0.93,256,1.59
112,52,531,1.29,80,2.00,206,1.49
112,53,269,1.59,40,2.00,204,1.59
112,54,227,1.59,11,0.93,201,1.59
112,55,195,1.59,11,0.93,459,1.19
112,56,507,1.29,12,0.93,354,1.29
112,57,73,1.59,3,0.93,65,1.59
112,58,197,1.59,264,0.46,190,1.59
112,59,940,0.99,10,0.93,966,0.99
112,60,268,1.59,22,0.93,183,1.59
112,61,265,1.59,60,2.00,160,1.59
112,62,346,1.59,66,2.00,302,1.59
112,63,140,1.59,23,0.93,173,1.59
112,64,239,1.59,32,0.93,182,1.59
112,65,565,1.19,62,0.79,240,1.59
112,66,531,1.29,42,0.79,409,1.29
112,67,331,1.59,18,0.93,314,1.59
112,68,0,0.0,19,0.93,0,0.0
112,69,233,1.59,152,0.89,182,1.59
112,70,455,1.29,28,0.93,336,1.29
112,71,227,1.59,15,0.93,189,1.59
112,72,217,1.59,10,0.93,158,1.59
112,73,414,1.29,25,0.93,275,1.29
112,74,173,1.59,46,2.00,373,1.19
112,75,365,1.29,36,0.93,145,1.59
112,76,189,1.59,5,0.93,1485,0.89
112,77,225,1.59,11,0.93,174,1.59
112,78,217,1.59,264,0.46,175,1.59
112,79,522,1.19,15,0.93,462,1.19
112,80,211,1.59,19,0.93,277,1.59
112,81,190,1.59,20,0.93,288,1.59
112,82,204,1.59,84,0.59,155,1.59
112,83,147,1.59,2,0.93,124,1.59
112,84,822,0.99,13,0.89,911,0.99
112,85,163,1.59,83,2.00,137,1.59
112,86,201,1.59,13,0.89,161,1.59
112,87,242,1.59,24,0.89,197,1.59
112,88,777,0.99,15,0.89,860,0.99
112,89,187,1.59,91,2.00,163,1.59
112,90,177,1.59,29,2.00,170,1.59
112,91,943,0.99,11,0.89,1115,0.99
112,92,158,1.59,63,2.00,156,1.59
112,93,198,1.59,17,0.69,159,1.59
112,94,213,1.59,15,0.89,188,1.59
112,95,278,1.32,2,0.89,294,1.32
112,96,174,1.59,20,0.74,148,1.59
112,97,178,1.55,44,0.67,138,1.55
112,98,241,1.29,25,0.63,258,1.29
112,99,178,1.49,119,0.59,155,1.49
112,100,185,1.49,38,0.69,181,1.49
112,101,892,0.99,19,0.89,844,0.99
112,102,179,1.49,67,0.67,145,1.49
112,103,150,1.49,32,0.68,171,1.49
112,104,159,1.49,79,0.67,162,1.49
112,105,317,1.29,35,0.89,244,1.29
112,106,185,1.45,17,0.89,156,1.46
112,107,1252,0.99,1,0.89,862,0.99
112,108,140,1.49,11,0.89,118,1.49
112,109,166,1.49,67,0.79,113,1.49
112,110,295,1.29,23,0.89,198,1.29
112,111,182,1.29,23,0.86,150,1.29
112,112,198,1.29,20,0.79,240,1.29
112,113,162,1.49,10,0.79,156,1.49
112,114,427,1.09,26,0.81,363,1.09
112,115,214,1.49,55,0.79,223,1.49
112,116,146,1.49,9,0.83,153,1.49
112,117,1052,0.89,12,0.89,926,0.89
112,118,175,1.49,16,0.89,131,1.49
112,119,275,1.49,59,0.75,235,1.49
112,120,1442,0.89,16,0.75,1351,0.89
112,121,145,1.49,21,0.78,141,1.49
112,122,275,1.19,331,0.44,325,1.19
112,123,142,1.49,15,0.89,135,1.49
112,124,758,0.89,9,0.89,869,0.89
112,125,142,1.49,42,0.75,124,1.49
112,126,135,1.49,22,0.89,132,1.49
112,127,119,1.49,19,0.89,168,1.49
112,128,148,1.39,13,0.89,174,1.39
112,129,122,1.49,181,0.48,117,1.49
112,130,641,0.99,14,0.89,1119,0.99
112,131,127,1.49,16,0.89,120,1.48
112,132,138,1.49,52,0.75,178,1.49
112,133,145,1.49,31,0.89,177,1.49
112,134,132,1.49,250,0.45,173,1.49
112,135,823,0.99,19,0.89,935,0.99
